JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2434628.26	8.1			Vis.	ELD								V				RX BOO		STD				
2434629.26	8.0			Vis.	ELD								V				RX BOO		STD				
2434629.6	8.2			Vis.	OV								V				RX BOO		STD				
2434631.28	8.0			Vis.	ELD								V				RX BOO		STD				
2434636.25	8.3			Vis.	ELD								V				RX BOO		STD				
2434638.25	8.2			Vis.	ELD								V				RX BOO		STD				
2434638.6	8.1			Vis.	OV								V				RX BOO		STD				
2434639.29	8.2			Vis.	ELD								V				RX BOO		STD				
2434645.25	8.2			Vis.	ELD								V				RX BOO		STD				
2434648.22	8.1			Vis.	ELD								V				RX BOO		STD				
2434649.6	8.1			Vis.	OV								V				RX BOO		STD				
2434650.24	7.8			Vis.	ELD								V				RX BOO		STD				
2434651.25	8.0			Vis.	ELD								V				RX BOO		STD				
2434653.24	8.1			Vis.	ELD								V				RX BOO		STD				
2434654.24	8.1			Vis.	ELD								V				RX BOO		STD				
2434659.6	8.1			Vis.	OV								V				RX BOO		STD				
2434665.23	7.4			Vis.	ELD								V				RX BOO		STD				
2434675.2	7.9			Vis.	ELD								V				RX BOO		STD				
2434738.6	8.4			Vis.	OV								V				RX BOO		STD				
2434744.6	8.6			Vis.	OV								V				RX BOO		STD				
2434781.9	7.9			Vis.	AWC								V				RX BOO		STD				
2434797.6	8.3			Vis.	OV								V				RX BOO		STD				
2434804.6	8.3			Vis.	OV								V				RX BOO		STD				
2434804.8	7.9			Vis.	RP								V				RX BOO		STD				
2434808.8	8.2			Vis.	AWC								V				RX BOO		STD				
2434809.6	8.6			Vis.	OV								V				RX BOO		STD				
2434818.6	8.3			Vis.	OV								V				RX BOO		STD				
2434826.35	8.1			Vis.	ELD								V				RX BOO		STD				
2434828.6	8.5			Vis.	OV								V				RX BOO		STD				
2434828.8	8.5			Vis.	AWC								V				RX BOO		STD				
2434834.6	8.4			Vis.	AWC								V				RX BOO		STD				
2434834.7	8.5			Vis.	OV								V				RX BOO		STD				
2434842.7	8.2			Vis.	AWC								V				RX BOO		STD				
2434842.7	8.6			Vis.	OV								V				RX BOO		STD				
2434853.7	8.7			Vis.	OV								V				RX BOO		STD				
2434855.6	8.1			Vis.	AWC								V				RX BOO		STD				
2434863.6	8.3			Vis.	AWC								V				RX BOO		STD				
2434863.7	8.7			Vis.	OV								V				RX BOO		STD				
2434869.6	8.5			Vis.	AWC								V				RX BOO		STD				
2434886.7	8.7			Vis.	OV								V				RX BOO		STD				
2434887.6	8.5			Vis.	AWC								V				RX BOO		STD				
2434891.6	8.4			Vis.	AWC								V				RX BOO		STD				
2434893.7	8.7			Vis.	OV								V				RX BOO		STD				
2434895.6	8.5			Vis.	AWC								V				RX BOO		STD				
2434899.7	8.4			Vis.	AWC								V				RX BOO		STD				
2434899.7	8.4			Vis.	OV								V				RX BOO		STD				
2434902.6	8.4			Vis.	AWC								V				RX BOO		STD				
2434912.6	8.4			Vis.	AWC								V				RX BOO		STD				
2434912.7	8.5			Vis.	RP								V				RX BOO		STD				
2434913.7	8.5			Vis.	OV								V				RX BOO		STD				
2434915.6	8.4			Vis.	AWC								V				RX BOO		STD				
2434916.33	8.1			Vis.	ELD								V				RX BOO		STD				
2434917.4	8.1			Vis.	ELD								V				RX BOO		STD				
2434919.6	8.5			Vis.	AWC								V				RX BOO		STD				
2434921.7	8.7			Vis.	OV								V				RX BOO		STD				
2434923.36	7.9			Vis.	ELD								V				RX BOO		STD				
2434924.35	8.0			Vis.	ELD								V				RX BOO		STD				
2434926.6	8.3			Vis.	AWC								V				RX BOO		STD				
2434928.37	8.1			Vis.	ELD								V				RX BOO		STD				
2434929.32	8.1			Vis.	ELD								V				RX BOO		STD				
2434929.7	8.3			Vis.	AWC								V				RX BOO		STD				
2434929.7	8.5			Vis.	OV								V				RX BOO		STD				
2434930.38	8.1			Vis.	ELD								V				RX BOO		STD				
2434932.6	8.3			Vis.	AWC								V				RX BOO		STD				
2434933.36	8.1			Vis.	ELD								V				RX BOO		STD				
2434935.41	8.1			Vis.	ELD								V				RX BOO		STD				
2434939.6	8.3			Vis.	AWC								V				RX BOO		STD				
2434943.34	8.0			Vis.	ELD								V				RX BOO		STD				
2434946.35	7.9			Vis.	ELD								V				RX BOO		STD				
2434946.7	8.4			Vis.	OV								V				RX BOO		STD				
2434947.6	8.3			Vis.	AWC								V				RX BOO		STD				
2434949.38	7.9			Vis.	ELD								V				RX BOO		STD				
2434951.34	8.0			Vis.	ELD								V				RX BOO		STD				
2434953.28	8.0			Vis.	ELD								V				RX BOO		STD				
2434954.7	8.5			Vis.	OV								V				RX BOO		STD				
2434958.36	8.1			Vis.	ELD								V				RX BOO		STD				
2434962.7	8.4			Vis.	OV								V				RX BOO		STD				
2434972.6	8.2			Vis.	AWC								V				RX BOO		STD				
2434976.7	8.4			Vis.	OV								V				RX BOO		STD				
2434978.6	8.4			Vis.	AWC								V				RX BOO		STD				
2434986.6	8.4			Vis.	AWC								V				RX BOO		STD				
2434986.7	8.4			Vis.	OV								V				RX BOO		STD				
2434987.6	8.3			Vis.	AWC								V				RX BOO		STD				
2435013.6	8.7			Vis.	OV								V				RX BOO		STD				
2435037.6	8.5			Vis.	OV								V				RX BOO		STD				
2435074.9	8.2			Vis.	AWC								V				RX BOO		STD				
2435088.9	8.3			Vis.	AWC								V				RX BOO		STD				
2435098.9	8.3			Vis.	AWC								V				RX BOO		STD				
2435107.9	8.5			Vis.	HHG								V				RX BOO		STD				
2435114.9	8.2			Vis.	HHG								V				RX BOO		STD				
2435121.9	8.3			Vis.	SK								V				RX BOO		STD				
2435127.9	8.4			Vis.	HHG								V				RX BOO		STD				
2435136.6	8.4			Vis.	OV								V				RX BOO		STD				
2435138.8	8.8			Vis.	SN								V				RX BOO		STD				
2435143.8	8.7			Vis.	SN								V				RX BOO		STD				
2435150.8	8.5			Vis.	SN								V				RX BOO		STD				
2435151.6	8.4			Vis.	OV								V				RX BOO		STD				
2435151.8	8.3			Vis.	SK								V				RX BOO		STD				
2435156.9	8.2			Vis.	AWC								V				RX BOO		STD				
2435157.6	8.6			Vis.	OV								V				RX BOO		STD				
